countries,downloaded_ts,json_generated_ts,description,audio_generated_ts
niger,2026-07-30 13:02:58,2026-07-30 13:02:58,,
nigeria,2026-07-30 13:02:58,2026-07-30 13:02:58,,
republic_of_the_congo,2026-07-30 13:02:58,2026-07-30 13:02:58,,
rwanda,2026-07-30 13:02:58,2026-07-30 13:02:58,,
sao_tome_and_principe,2026-07-30 13:02:58,2026-07-30 13:02:58,,
senegal,2026-07-30 13:02:58,2026-07-30 13:02:58,,
seychelles,2026-07-30 13:02:58,2026-07-30 13:02:58,,
sierra_leone,2026-07-30 13:02:58,2026-07-30 13:02:58,,
somalia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
south_africa,2026-07-30 13:02:58,2026-07-30 13:02:58,,
south_sudan,2026-07-30 13:02:58,2026-07-30 13:02:58,,
sudan,2026-07-30 13:02:58,2026-07-30 13:02:58,,
tanzania,2026-07-30 13:02:58,2026-07-30 13:02:58,,
togo,2026-07-30 13:02:58,2026-07-30 13:02:58,,
tunisia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
uganda,2026-07-30 13:02:58,2026-07-30 13:02:58,,
western_sahara,2026-07-30 13:02:58,2026-07-30 13:02:58,,
zambia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
zimbabwe,2026-07-30 13:02:58,2026-07-30 13:02:58,,
antarctica,2026-07-30 13:02:58,2026-07-30 13:02:58,,
afghanistan,2026-07-30 13:02:58,2026-07-30 13:02:58,,
armenia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
azerbaijan,2026-07-30 13:02:58,2026-07-30 13:02:58,,
bahrain,2026-07-30 13:02:58,2026-07-30 13:02:58,,
bangladesh,2026-07-30 13:02:58,2026-07-30 13:02:58,,
bhutan,2026-07-30 13:02:58,2026-07-30 13:02:58,,
brunei,2026-07-30 13:02:58,2026-07-30 13:02:58,,
cambodia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
china,2026-07-30 13:02:58,2026-07-30 13:02:58,,
georgia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
india,2026-07-30 13:02:58,2026-07-30 13:02:58,,
indonesia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
iran,2026-07-30 13:02:58,2026-07-30 13:02:58,,
iraq,2026-07-30 13:02:58,2026-07-30 13:02:58,,
israel,2026-07-30 13:02:58,2026-07-30 13:02:58,,
japan,2026-07-30 13:02:58,2026-07-30 13:02:58,,
jordan,2026-07-30 13:02:58,2026-07-30 13:02:58,,
kazakhstan,2026-07-30 13:02:58,2026-07-30 13:02:58,,
kuwait,2026-07-30 13:02:58,2026-07-30 13:02:58,,
kyrgyzstan,2026-07-30 13:02:58,2026-07-30 13:02:58,,
laos,2026-07-30 13:02:58,2026-07-30 13:02:58,,
lebanon,2026-07-30 13:02:58,2026-07-30 13:02:58,,
malaysia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
maldives,2026-07-30 13:02:58,2026-07-30 13:02:58,,
mongolia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
myanmar,2026-07-30 13:02:58,2026-07-30 13:02:58,,
nepal,2026-07-30 13:02:58,2026-07-30 13:02:58,,
north_korea,2026-07-30 13:02:58,2026-07-30 13:02:58,,
oman,2026-07-30 13:02:58,2026-07-30 13:02:58,,
pakistan,2026-07-30 13:02:58,2026-07-30 13:02:58,,
philippines,2026-07-30 13:02:58,2026-07-30 13:02:58,,
qatar,2026-07-30 13:02:58,2026-07-30 13:02:58,,
saudi_arabia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
singapore,2026-07-30 13:02:58,2026-07-30 13:02:58,,
south_korea,2026-07-30 13:02:58,2026-07-30 13:02:58,,
sri_lanka,2026-07-30 13:02:58,2026-07-30 13:02:58,,
syria,2026-07-30 13:02:58,2026-07-30 13:02:58,,
taiwan,2026-07-30 13:02:58,2026-07-30 13:02:58,,
tajikistan,2026-07-30 13:02:58,2026-07-30 13:02:58,,
thailand,2026-07-30 13:02:58,2026-07-30 13:02:58,,
timor-leste,2026-07-30 13:02:58,2026-07-30 13:02:58,,
turkmenistan,2026-07-30 13:02:58,2026-07-30 13:02:58,,
united_arab_emirates,2026-07-30 13:02:58,2026-07-30 13:02:58,,
vietnam,2026-07-30 13:02:58,2026-07-30 13:02:58,,
yemen,2026-07-30 13:02:58,2026-07-30 13:02:58,,
american_samoa,2026-07-30 13:02:58,2026-07-30 13:02:58,,
australia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
christmas_island,2026-07-30 13:02:58,2026-07-30 13:02:58,,
cook_islands,2026-07-30 13:02:58,2026-07-30 13:02:58,,
federated_states_of_micronesia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
fiji,2026-07-30 13:02:58,2026-07-30 13:02:58,,
french_polynesia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
guam,2026-07-30 13:02:58,2026-07-30 13:02:58,,
kiribati,2026-07-30 13:02:58,2026-07-30 13:02:58,,
marshall_islands,2026-07-30 13:02:58,2026-07-30 13:02:58,,
nauru,2026-07-30 13:02:58,2026-07-30 13:02:58,,
new_caledonia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
new_zealand,2026-07-30 13:02:58,2026-07-30 13:02:58,,
niue,2026-07-30 13:02:58,2026-07-30 13:02:58,,
papua_new_guinea,2026-07-30 13:02:58,2026-07-30 13:02:58,,
samoa,2026-07-30 13:02:58,2026-07-30 13:02:58,,
solomon_islands,2026-07-30 13:02:58,2026-07-30 13:02:58,,
tonga,2026-07-30 13:02:58,2026-07-30 13:02:58,,
tuvalu,2026-07-30 13:02:58,2026-07-30 13:02:58,,
vanuatu,2026-07-30 13:02:58,2026-07-30 13:02:58,,
albania,2026-07-30 13:02:58,2026-07-30 13:02:58,,
andorra,2026-07-30 13:02:58,2026-07-30 13:02:58,,
austria,2026-07-30 13:02:58,2026-07-30 13:02:58,,
belarus,2026-07-30 13:02:58,2026-07-30 13:02:58,,
belgium,2026-07-30 13:02:58,2026-07-30 13:02:58,,
bosnia_and_herzegovina,2026-07-30 13:02:58,2026-07-30 13:02:58,,
bulgaria,2026-07-30 13:02:58,2026-07-30 13:02:58,,
croatia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
cyprus,2026-07-30 13:02:58,2026-07-30 13:02:58,,
czech_republic,2026-07-30 13:02:58,2026-07-30 13:02:58,,
denmark,2026-07-30 13:02:58,2026-07-30 13:02:58,,
estonia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
finland,2026-07-30 13:02:58,2026-07-30 13:02:58,,
france,2026-07-30 13:02:58,2026-07-30 13:02:58,,
germany,2026-07-30 13:02:58,2026-07-30 13:02:58,,
greece,2026-07-30 13:02:58,2026-07-30 13:02:58,,
hungary,2026-07-30 13:02:58,2026-07-30 13:02:58,,
iceland,2026-07-30 13:02:58,2026-07-30 13:02:58,,
ireland,2026-07-30 13:02:58,2026-07-30 13:02:58,,
italy,2026-07-30 13:02:58,2026-07-30 13:02:58,,
kosovo,2026-07-30 13:02:58,2026-07-30 13:02:58,,
latvia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
liechtenstein,2026-07-30 13:02:58,2026-07-30 13:02:58,,
lithuania,2026-07-30 13:02:58,2026-07-30 13:02:58,,
luxembourg,2026-07-30 13:02:58,2026-07-30 13:02:58,,
malta,2026-07-30 13:02:58,2026-07-30 13:02:58,,
moldova,2026-07-30 13:02:58,2026-07-30 13:02:58,,
monaco,2026-07-30 13:02:58,2026-07-30 13:02:58,,
montenegro,2026-07-30 13:02:58,2026-07-30 13:02:58,,
netherlands,2026-07-30 13:02:58,2026-07-30 13:02:58,,
north_macedonia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
norway,2026-07-30 13:02:58,2026-07-30 13:02:58,,
poland,2026-07-30 13:02:58,2026-07-30 13:02:58,,
portugal,2026-07-30 13:02:58,2026-07-30 13:02:58,,
romania,2026-07-30 13:02:58,2026-07-30 13:02:58,,
russia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
san_marino,2026-07-30 13:02:58,2026-07-30 13:02:58,,
serbia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
slovakia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
slovenia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
spain,2026-07-30 13:02:58,2026-07-30 13:02:58,,
sweden,2026-07-30 13:02:58,2026-07-30 13:02:58,,
switzerland,2026-07-30 13:02:58,2026-07-30 13:02:58,,
turkey,2026-07-30 13:02:58,2026-07-30 13:02:58,,
ukraine,2026-07-30 13:02:58,2026-07-30 13:02:58,,
united_kingdom,2026-07-30 13:02:58,2026-07-30 13:02:58,,
vatican_city,2026-07-30 13:02:58,2026-07-30 13:02:58,,
bahamas,2026-07-30 13:02:58,2026-07-30 13:02:58,,
canada,2026-07-30 13:02:58,2026-07-30 13:02:58,,
cuba,2026-07-30 13:02:58,2026-07-30 13:02:58,,
guatemala,2026-07-30 13:02:58,2026-07-30 13:02:58,,
mexico,2026-07-30 13:02:58,2026-07-30 13:02:58,,
united_states_of_america,2026-07-30 13:02:58,2026-07-30 13:02:58,,
argentina,2026-07-30 13:02:58,2026-07-30 13:02:58,,
bolivia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
brazil,2026-07-30 13:02:58,2026-07-30 13:02:58,,
chile,2026-07-30 13:02:58,2026-07-30 13:02:58,,
colombia,2026-07-30 13:02:58,2026-07-30 13:02:58,,
ecuador,2026-07-30 13:02:58,2026-07-30 13:02:58,,
guyana,2026-07-30 13:02:58,2026-07-30 13:02:58,,
paraguay,2026-07-30 13:02:58,2026-07-30 13:02:58,,
peru,2026-07-30 13:02:58,2026-07-30 13:02:58,,
suriname,2026-07-30 13:02:58,2026-07-30 13:02:58,,
uruguay,2026-07-30 13:02:58,2026-07-30 13:02:58,,
venezuela,2026-07-30 13:02:58,2026-07-30 13:02:58,,
